Race,Item,Time,Driver,Value
Japanese Grand Prix,podium finish,24:07.8,Max Verstappen,-700
Japanese Grand Prix,podium finish,24:07.8,Sergio Perez,-160
Japanese Grand Prix,podium finish,24:07.8,Charles Leclerc,-130
Japanese Grand Prix,podium finish,24:07.8,Carlos Sainz,-130
Japanese Grand Prix,podium finish,24:07.8,Lando Norris,230
Japanese Grand Prix,podium finish,24:07.8,Oscar Piastri,350
Japanese Grand Prix,podium finish,24:07.8,George Russell,750
Japanese Grand Prix,podium finish,24:07.8,Lewis Hamilton,750
Japanese Grand Prix,podium finish,24:07.8,Fernando Alonso,1600
Japanese Grand Prix,podium finish,24:07.8,Lance Stroll,4200
Japanese Grand Prix,podium finish,24:07.8,Pierre Gasly,10000
Japanese Grand Prix,podium finish,24:07.8,Kevin Magnussen,10000
Japanese Grand Prix,podium finish,24:07.8,Valtteri Bottas,10000
Japanese Grand Prix,podium finish,24:07.8,Esteban Ocon,10000
Japanese Grand Prix,podium finish,24:07.8,Daniel Ricciardo,10000
Japanese Grand Prix,podium finish,24:07.8,Guanyu Zhou,10000
Japanese Grand Prix,podium finish,24:07.8,Nico Hulkenberg,10000
Japanese Grand Prix,podium finish,24:07.8,Alex Albon,10000
Japanese Grand Prix,podium finish,24:07.8,Yuki Tsunoda,10000
Japanese Grand Prix,podium finish,24:07.8,Logan Sargeant,10000
Japanese Grand Prix,podium finish,03:31.7,Max Verstappen,-650
Japanese Grand Prix,podium finish,03:31.7,Sergio Perez,-160
Japanese Grand Prix,podium finish,03:31.7,Charles Leclerc,-130
Japanese Grand Prix,podium finish,03:31.7,Carlos Sainz,-130
Japanese Grand Prix,podium finish,03:31.7,Lando Norris,230
Japanese Grand Prix,podium finish,03:31.7,Oscar Piastri,350
Japanese Grand Prix,podium finish,03:31.7,George Russell,750
Japanese Grand Prix,podium finish,03:31.7,Lewis Hamilton,750
Japanese Grand Prix,podium finish,03:31.7,Fernando Alonso,1300
Japanese Grand Prix,podium finish,03:31.7,Lance Stroll,4200
Japanese Grand Prix,podium finish,03:31.7,Pierre Gasly,10000
Japanese Grand Prix,podium finish,03:31.7,Kevin Magnussen,10000
Japanese Grand Prix,podium finish,03:31.7,Valtteri Bottas,10000
Japanese Grand Prix,podium finish,03:31.7,Esteban Ocon,10000
Japanese Grand Prix,podium finish,03:31.7,Daniel Ricciardo,10000
Japanese Grand Prix,podium finish,03:31.7,Guanyu Zhou,10000
Japanese Grand Prix,podium finish,03:31.7,Nico Hulkenberg,10000
Japanese Grand Prix,podium finish,03:31.7,Alex Albon,10000
Japanese Grand Prix,podium finish,03:31.7,Yuki Tsunoda,10000
Japanese Grand Prix,podium finish,03:31.7,Logan Sargeant,10000
